타임스탬프,성별,나이 대,휴양,액티비티,쇼핑,맛집(먹거리),역사적 장소 탐방(문화유산),자연경관,"전시물 관람(동물원, 수족관, 미술관 등)",공연관람,본인이 경험한 관광지 중 가장 좋았던 여행지 1곳을 써주세요.,위에서 제시한 관광지는 분류 항목 중 어디에 해당되나요?(다중선택 가능)1,본인이 가고 싶은 관광지 1곳을 작성해주세요.,위에서 제시한 관광지는 분류 항목 중 어디에 해당되나요?(다중선택 가능)2,현재 서비스 중인 여행 어플리케이션에 대해 부족한 점이 있나요? 혹은 추가했으면 하는 기능이 있으신가요? 자유롭게 작성해주세요.
1-10-2022 23:13:06,여성,20대,4,4,4,4,2,2,3,3,오페라하우스,"문화유산, 전시물",에펠탑,"문화유산, 전시물",
1-1-2022 16:59:47,남성,20대,5,3,1,5,5,3,5,2,오키나와,전시물,베를린,"문화유산, 전시물",
1-1-2022 18:32:08,여성,20대,5,2,3,5,3,4,2,2,일본,"맛집, 휴양, 쇼핑",프랑스,"휴양, 자연경관",
1-1-2022 20:19:16,여성,20대,5,4,3,4,2,2,3,3,재천,"맛집, 휴양",일본 도쿄,"휴양, 액티비티, 쇼핑",
1-1-2022 20:26:03,남성,20대,5,5,3,4,2,5,5,3,제주도,"휴양, 자연경관, 문화유산",일본,"휴양, 자연경관, 문화유산, 쇼핑, 전시물",잘 모르겠습니다.
1-1-2022 22:42:11,여성,20대,5,4,2,5,2,4,3,2,강릉 경포대,"휴양, 자연경관",부산,"액티비티, 쇼핑","지금은 아니만 과거 국내 또는 국외 여행에 있어 트리플이라는 어플을 사용했었습니다. 지도 경로라던지, 계획 짜는데 되게 유용하게 이용했던 기억이 있어요. 
기타 어플리케이션은 써보지 않았지만 여행을 좋아하고 많이 다니는 입장으로서 여행지에 대한 정보와 더불어 
하나의 어플로 여러가지를 한꺼번에 할 수 있는 통합앱도 좋지만, 여행 관련 커뮤니티를 활발하게 할 수 있는 공간은 아직 부족한 점이 있다 생각됩니다. 블로그, 인스타 이런것들과 별개로 보다 섬세한 정보와 리뷰가 오고 갈 수 있는 검열된 커뮤니티 기능이 마련되면 좋을 것 같아요"
1-1-2022 22:53:54,여성,20대,5,4,4,5,3,4,5,4,여수,"맛집, 자연경관, 전시물",제주도,"휴양, 자연경관, 전시물",
1-12-2022 19:10:38,남성,20대,5,2,3,3,1,4,2,2,대전,"휴양, 자연경관",제주도,"휴양, 자연경관",혼행족을 위한 1인용 숙박 검색 기능이 부실하거나 아예 없음.
1-13-2022 18:28:33,여성,20대,5,5,4,5,3,5,3,3,코타키나발루,"휴양, 액티비티, 쇼핑",몰디브,"휴양, 자연경관",한국인 영수증 후기 모아보기
1-2-2022 0:40:55,여성,20대,4,5,2,5,3,5,4,3,제주도 우도,"맛집, 자연경관",스위스 융프라우,자연경관,
1-2-2022 13:28:38,여성,20대,3,5,2,4,4,5,2,4,.,자연경관,남미,자연경관,
1-2-2022 13:39:18,여성,20대,4,4,4,4,2,3,3,4,강릉,맛집,여수,자연경관,
1-2-2022 15:29:21,여성,20대,5,5,3,5,1,3,1,4,제주도 (해외는 태국),"휴양, 자연경관, 액티비티",일본,자연경관,"사실을 담은 사진, 찜한 여행지와 비슷한 여행지 추천 "
1-2-2022 17:42:24,여성,20대,4,2,4,5,1,4,4,3,제주도 한라산,자연경관,일본 큐슈 온천마을,휴양,
1-2-2022 20:55:21,여성,20대,5,5,3,5,1,1,1,3,마카오,"맛집, 쇼핑",유럽,쇼핑,
1-2-2022 23:17:45,여성,20대,4,5,5,5,2,5,5,5,블라디보스톡,"맛집, 휴양, 쇼핑",스위스,"휴양, 자연경관, 쇼핑",
12-22-2021 20:25:12,남성,20대,5,3,1,4,1,4,3,3,대만,맛집,아이슬란드,자연경관,
12-22-2021 20:26:06,여성,20대,2,4,1,4,1,4,1,1,제주도,"휴양, 자연경관, 액티비티",부산,"휴양, 자연경관",
12-22-2021 20:26:32,남성,20대,2,3,3,4,5,5,5,3,러시아,"자연경관, 문화유산, 전시물",체르노빌,"자연경관, 문화유산",안써봄
12-22-2021 20:26:33,남성,20대,5,4,1,5,5,5,4,4,후쿠오카,"맛집, 휴양, 문화유산, 액티비티",스위스,"휴양, 자연경관","내가 원하는 항목만 보기, 광고적인 추천이 아닌 실제 사용자 리뷰, 해당 도시의 문화 역사, 현지인들이 많이가는 숨은 맛집"
12-22-2021 20:28:35,여성,20대,4,3,2,5,3,5,4,2,단양,"휴양, 자연경관",통영,자연경관,날짜부터 설정하는 것이 아니라 숙소를 먼저 선택한 후에 어떤 날짜가 비어있는지 확인할 수 있는 식의 설정
12-22-2021 20:28:37,남성,20대,5,4,4,5,3,5,2,3,대전,휴양,속초,"휴양, 자연경관",
12-22-2021 20:31:07,여성,20대,4,5,1,4,3,5,5,5,강릉 안반데기,자연경관,제주 금오름,자연경관,"가고 싶은 관광지에 대한 상세 정보(대중교통으로 방문하기 원활한지, 마감시간, 입장 가격 안내 등등)"
12-22-2021 20:31:15,남성,20대,4,5,3,4,4,5,5,5,저는 두바이가 제일 좋았어요,"액티비티, 쇼핑, 전시물",저는 독일 가보고 싶어용,문화유산,
12-22-2021 20:31:16,남성,20대,4,3,1,4,5,5,2,3,中国 云南 丽江,"휴양, 자연경관, 문화유산",아이슬란드,"휴양, 자연경관, 문화유산",어플 안씁니다 내가 더 잘알아
12-22-2021 20:31:23,남성,20대,4,3,2,5,1,4,3,2,여수,"휴양, 자연경관",태국,"휴양, 자연경관",
12-22-2021 20:32:24,남성,20대,5,5,2,5,4,5,3,3,秋葉原,"자연경관, 문화유산",스페인,자연경관,지역 맛집과 지역 특색 음식에 대한 정보 얻기
12-22-2021 20:32:27,남성,30대,5,5,2,4,3,4,4,5,필리핀 세부(스노쿨링),"자연경관, 액티비티",아쿠아리움,공연,
12-22-2021 20:32:37,남성,20대,5,5,1,3,1,2,1,1,제주도,"맛집, 휴양",오사카,액티비티,X
12-22-2021 20:34:19,남성,20대,5,5,5,5,4,5,5,5,홍콩,"맛집, 쇼핑",스위스,"휴양, 자연경관",인공지능 경로 추천
12-22-2021 20:34:36,남성,20대,5,2,4,5,4,5,3,3,오사카,"맛집, 자연경관, 문화유산, 쇼핑",몰디브,"휴양, 자연경관",
12-22-2021 20:35:32,남성,20대,5,3,2,5,4,4,5,4,로마,"자연경관, 문화유산, 전시물",싱가포르,"휴양, 문화유산, 전시물",맛집이 제대로 표시 안되어 있는 경우가 존재. 실시간 빠르게 변화하거나 실시간 정보 업데이트가 느림
12-22-2021 20:36:03,남성,20대,5,2,4,3,1,3,4,2,뉴욕,"휴양, 문화유산, 쇼핑",괌,"휴양, 자연경관",
